ticker,exit_type,acquirer_or_note,exit_year,exit_date,source_url,verified,ticker_recycled,notes
CEPH,acquisition,Teva Pharmaceutical Industries,2011,2011-10-14,https://ir.tevapharm.com/news-and-events/press-releases/press-release-details/2011/Teva-Completes-Acquisition-of-Cephalon/default.aspx,True,False,Cephalon Inc; $81.50/sh cash
CERN,acquisition,Oracle,2022,2022-06-08,https://www.sec.gov/Archives/edgar/data/804753/000119312522169841/d223229d8k.htm,True,False,tender offer; merger effective and Nasdaq delisting 2022-06-08
CFN,acquisition,Becton Dickinson (BDX),2015,2015-03-17,https://www.sec.gov/Archives/edgar/data/0000010795/000119312515094829/d890302dex991.htm,True,False,CareFusion; $49 cash + 0.0777 BDX per share; was 2009 Cardinal Health spinoff
CHK,bankruptcy-emerged,Chapter 11 filed 2020-06-28; emerged via Plan of Reorganization,2021,2021-02-09,https://www.sec.gov/Archives/edgar/data/895126/000089512621000033/ex9922021-02x09pr.htm,True,False,old equity cancelled; new CHK relisted Nasdaq (renamed Expand Energy/EXE 2024)
CMA,acquisition,Fifth Third Bancorp (FITB),2026,2026-02-02,https://www.businesswire.com/news/home/20260202908949/en/Fifth-Third-Completes-Merger-with-Comerica-to-Become-9th-Largest-U.S.-Bank,True,False,Comerica traded under CMA continuously until all-stock merger into Fifth Third closed 2026-02-02
COV,acquisition,Medtronic,2015,2015-01-26,https://www.sec.gov/Archives/edgar/data/0001613103/000119312515020681/d859999dex991.htm,True,False,Covidien plc; combined co redomiciled in Ireland as Medtronic plc (MDT)
CSC,merger,HPE Enterprise Services spin-merge forming DXC Technology,2017,2017-04-01,https://www.globenewswire.com/news-release/2017/04/03/953492/0/en/Hewlett-Packard-Enterprise-Completes-Spin-off-and-Merger-of-its-Enterprise-Services-Business-with-CSC.html,True,False,Computer Sciences Corp; successor DXC began trading 2017-04-03; govt arm CSRA spun off 2015-11
CTRA,merger,Devon Energy,2026,2026-05-07,https://investors.devonenergy.com/investors/press-releases/press-release-details/2026/Devon-Energy-and-Coterra-Energy-Complete-Merger/,True,False,no CTRA existed 2010-15; dataset back-maps Cabot Oil & Gas (COG) renamed Coterra 2021 after Cimarex merger; 0.70 DVN per CTRA share
CTXS,take-private,Vista Equity Partners + Evergreen Coast Capital (Elliott),2022,2022-09-30,https://www.cloud.com/news/press-release/2022/vista-equity-partners-and-evergreen-coast-capital-complete-transaction-to-acquire-citrix-and-combine-with-tibco,True,False,Citrix Systems; $104/sh ($16.5B); merged with TIBCO into Cloud Software Group
CVC,acquisition,Altice N.V.,2016,2016-06-21,https://www.optimum.com/about-us/news/articles/press-release/corporate/altice-completes-acquisition-cablevision-systems-corporation,True,False,Cablevision; $34.90/sh cash; became Altice USA; unrelated CVC Capital Partners uses CVC on Euronext AMS only
CVH,acquisition,Aetna,2013,2013-05-07,https://www.businesswire.com/news/home/20130507006113/en/Aetna-Completes-Acquisition-of-Coventry-Health-Care-Inc.,True,False,Coventry Health Care; ~$5.7B cash+stock
DF,bankruptcy,Chapter 11; assets sold to Dairy Farmers of America et al,2019,2019-11-12,https://www.bloomberg.com/news/articles/2019-11-12/dean-foods-files-for-chapter-11-bankruptcy-reorganization-k2vtfqk6,True,False,Dean Foods; moved to OTC as DFODQ; DFA sale closed May-2020
DFS,acquisition,Capital One Financial,2025,2025-05-18,https://investor.capitalone.com/news-releases/news-release-details/capital-one-completes-acquisition-discover/,True,False,Discover Financial Services; all-stock; COF is survivor
DISCA,merger,WarnerMedia combined into Discovery forming Warner Bros. Discovery,2022,2022-04-08,https://www.sec.gov/Archives/edgar/data/1437107/000119312522103051/d328161dex991.htm,True,False,Discovery Inc Class A; successor WBD traded from 2022-04-11; DISCK/DISCB also converted
DISCK,merger,Discovery Inc combined with AT&T's WarnerMedia to form Warner Bros. Discovery,2022,2022-04-08,https://ir.wbd.com/news-and-events/financial-news/financial-news-details/2022/Combination-of-Discovery-and-WarnerMedia-Creates-Warner-Bros.-Discovery-Global-Leader-in-Entertainment-and-Streaming/,True,False,Series C shares converted 1:1 to Nasdaq:WBD (trading began 2022-04-11)
DNB,take-private,CC Capital/Cannae/Black Knight/THL investor group,2019,2019-02-08,https://www.sec.gov/Archives/edgar/data/1115222/000110465919006848/a19-4290_1ex99d1.htm,True,False,Dun & Bradstreet; relisted as DNB Jul-2020; Clearlake take-private closed Aug-2025 so DNB delisted again
DNR,bankruptcy-emerged,Chapter 11 prepack; emerged as Denbury Inc,2020,2020-09-18,https://www.globenewswire.com/news-release/2020/09/18/2096000/0/en/Denbury-Successfully-Completes-Financial-Restructuring.html,True,False,Denbury Resources; old DNR equity cancelled; relisted as DEN 2020-09-21; DEN later bought by ExxonMobil Nov-2023
DO,acquisition,Noble Corporation,2024,2024-09-04,https://www.prnewswire.com/news-releases/noble-corporation-plc-announces-closing-of-diamond-acquisition-and-new-appointment-to-the-board-of-directors-302238065.html,True,False,Diamond Offshore; Ch.11 2020 cancelled old equity; emerged + relisted DO; Noble (NE) closed 2024-09-04
DPS,merger,Keurig Green Mountain (JAB) forming Keurig Dr Pepper,2018,2018-07-09,https://news.keurigdrpepper.com/2018-07-09-Keurig-Dr-Pepper-Announces-Successful-Completion-of-the-Merger-between-Keurig-Green-Mountain-and-Dr-Pepper-Snapple-Group,True,False,Dr Pepper Snapple Group; DPS entity renamed KDP (trading from 2018-07-10); holders got $103.75/sh special dividend
DTV,acquisition,AT&T,2015,2015-07-24,https://about.att.com/story/att_completes_acquisition_of_directv.html,True,False,DIRECTV; $28.50 cash + 1.892 T shares per DTV share (~$47B)
EK,bankruptcy-emerged,Eastman Kodak Chapter 11 (SDNY); NYSE delisted Feb-2012,2012,2012-01-19,https://www.sec.gov/Archives/edgar/data/0000031235/000087666112000045/ek99.txt,True,False,emerged 2013-09-03; relisted NYSE as KODK Nov-2013
ESV,renamed,Valaris plc (VAL),2019,2019-07-31,https://www.valaris.com/news/news-details/2019/Ensco-Rowan-plc-to-Change-Its-Name-to-Valaris-plc/default.aspx,True,False,Ensco; merged w/ Rowan Apr-2019 keeping ESV; renamed VAL 2019-07-31; Ch.11 2020-21 emerged; still trades as VAL
ETFC,acquisition,Morgan Stanley,2020,2020-10-02,https://www.morganstanley.com/press-releases/morgan-stanley-closes-acquisition-of-e-trade,True,False,E*TRADE Financial; all-stock 1.0432 MS per ETFC share
FDO,acquisition,Dollar Tree,2015,2015-07-06,https://corporate.dollartree.com/news-media/press-releases/detail/120/dollar-tree-completes-acquisition-of-family-dollar,True,False,Family Dollar Stores; ~$9B cash+stock
FII,renamed,Federated Hermes (rebrand of Federated Investors),2020,2020-02-03,https://www.prnewswire.com/news-releases/federated-investors-inc-to-change-name-and-ticker-symbol-300989186.html,True,False,alive under new ticker FHI on NYSE from 2020-02-03; name change effective 2020-01-31
FLIR,acquisition,Teledyne Technologies,2021,2021-05-14,https://www.teledyne.com/en-us/news/pages/teledyne-completes-acquisition-of-flir.aspx,True,False,FLIR Systems; now Teledyne FLIR
FRX,acquisition,Actavis plc,2014,2014-07-01,https://www.sec.gov/Archives/edgar/data/0000038074/000119312514259565/d749194dex991.htm,True,True,Forest Laboratories; ~$28B cash+stock; FRX symbol briefly reused by Forest Road Acquisition SPAC 2020-21
FTR,bankruptcy-emerged,Ch.11 reorg (filed 2020-04-14),2021,2021-04-30,https://www.sec.gov/Archives/edgar/data/20520/000114036121015200/brhc10023786_ex99-1.htm,True,False,Frontier Communications; emerged as FYBR (Nasdaq 2021-05-04); FYBR acquired by Verizon Jan-2026
GAS,acquisition,Southern Company,2016,2016-07-01,https://southerncompany.mediaroom.com/2016-07-01-Southern-Company-and-AGL-Resources-complete-merger-create-a-leading-U-S-energy-company,True,False,GAS = Nicor until Dec-2011 merger into AGL Resources which then adopted GAS; AGL became Southern Company Gas; $66/share cash
GGP,acquisition,Brookfield Property Partners,2018,2018-08-28,https://www.globenewswire.com/news-release/2018/08/28/1557660/0/en/Brookfield-Property-Partners-L-P-Completes-Acquisition-of-GGP-Inc.html,True,False,General Growth Properties; earlier Ch.11 2009 emerged Nov-2010; holders got cash/BPY/BPR
GMCR,take-private,JAB Holding-led investor group,2016,2016-03-03,https://www.businesswire.com/news/home/20160303005794/en/JAB-Holding-Company-Led-Investor-Group-Completes-Acquisition-of-Keurig-Green-Mountain-Inc.,True,False,Keurig Green Mountain (fka Green Mountain Coffee Roasters); $92/sh cash ~$13.9B
GPS,renamed,Gap Inc. ticker change GPS->GAP,2024,2024-08-22,https://www.prnewswire.com/news-releases/gap-inc-to-change-ticker-symbol-to-gap-on-august-22-to-report-second-quarter-fiscal-2024-results-on-august-29-302218082.html,True,False,same company alive; trades as NYSE:GAP (confirmed active Aug-2026)
GR,acquisition,United Technologies Corp,2012,2012-07-26,https://www.prnewswire.com/news-releases/united-technologies-closes-goodrich-acquisition-marshall-larsen-to-join-utc-board-of-directors-alain-bellemare-to-lead-utc-propulsion--aerospace-systems-163884836.html,True,False,Goodrich Corp; $127.50/sh; became UTC Aerospace Systems (now RTX/Collins)
HAR,acquisition,Samsung Electronics,2017,2017-03-10,https://news.harman.com/releases/samsung-electronics-completes-acquisition-of-harman,True,False,Harman International; $112/sh cash
HCBK,acquisition,M&T Bank (MTB),2015,2015-11-01,https://newsroom.mtb.com/2015-11-02-M-T-Bank-Corporation-Completes-Acquisition-of-Hudson-City-Bancorp-Inc,True,False,Hudson City Bancorp; deal announced Aug-2012 but closed 2015 after regulatory delay
HES,acquisition,Chevron,2025,2025-07-18,https://www.chevron.com/newsroom/2025/q3/chevron-completes-acquisition-of-hess-corporation,True,False,Hess Corp; $53B all-stock; closed after Exxon Guyana arbitration win
HNZ,take-private,Berkshire Hathaway + 3G Capital,2013,2013-06-07,https://www.businesswire.com/news/home/20130607005572/en/Berkshire-Hathaway-and-3G-Capital-Complete-Acquisition-of-H.J.-Heinz-Company,True,False,H.J. Heinz; $72.50/sh; later merged with Kraft 2015 to form KHC
HSP,acquisition,Pfizer,2015,2015-09-03,https://www.sec.gov/Archives/edgar/data/78003/000007800315000038/x999315.htm,True,False,Hospira; $90/sh cash ~$17B; NYSE trading ceased 2015-09-03
IGT,acquisition,GTECH S.p.A. (holdco renamed International Game Technology PLC),2015,2015-04-07,https://www.sec.gov/Archives/edgar/data/0000353944/000110465915025577/a15-8486_1ex99d1.htm,True,False,GTECH's PLC (different registrant) used NYSE:IGT 2015-2025 then renamed Brightstar Lottery (BRSL) Jul-2025 - IGT price series spans two entities
IPG,acquisition,Omnicom Group (OMC),2025,2025-11-26,https://www.sec.gov/Archives/edgar/data/29989/000119312525300788/d24786dex991.htm,True,False,Interpublic Group; all-stock 0.344 OMC per share
JCP,bankruptcy,Chapter 11 (S.D. Texas); opco sold to Simon Property + Brookfield,2020,2020-05-15,https://corporate.jcpenney.com/2020/05/15/jcpenney-to-reduce-debt-and-strengthen-financial-position-through-restructuring-support-agreement/,True,False,J.C. Penney; NYSE delisted to OTC (JCPNQ); retail assets sold Nov-2020; shares cancelled; remainco became Copper Property CTL Trust
JDSU,split,Viavi Solutions (VIAV) + Lumentum (LITE),2015,2015-08-01,https://www.globenewswire.com/news-release/2015/07/15/1024274/0/en/JDSU-Sets-Record-and-Distribution-Date-for-Separation-of-JDSU-Into-Lumentum-Holdings-and-Viavi-Solutions.html,True,False,JDS Uniphase renamed Viavi (VIAV); spun off Lumentum (LITE); regular-way trading 2015-08-04
JNPR,acquisition,Hewlett Packard Enterprise,2025,2025-07-02,https://www.hpe.com/us/en/newsroom/press-release/2025/07/hewlett-packard-enterprise-closes-acquisition-of-juniper-networks-to-offer-industry-leading-comprehensive-cloud-native-ai-driven-portfolio.html,True,False,Juniper Networks; $40/sh cash ~$13.4B
JNS,merger,Henderson Group (merger of equals),2017,2017-05-30,https://www.globenewswire.com/news-release/2017/05/30/999918/0/en/Janus-Capital-Group-Inc-and-Henderson-Group-plc-complete-Merger-of-Equals.html,True,False,Janus Capital Group; successor Janus Henderson (JHG); JHG itself taken private 2026-06-30 by Trian/General Catalyst
JOY,acquisition,Komatsu Ltd (via Komatsu America),2017,2017-04-05,https://www.komatsu.jp/en/newsroom/2017/20170406,True,False,Joy Global; $28.30/sh (~$3.7B); renamed Komatsu Mining Corp
JWN,take-private,Nordstrom family + El Puerto de Liverpool,2025,2025-05-20,https://www.prnewswire.com/news-releases/nordstrom-announces-completion-of-acquisition-by-nordstrom-family-and-liverpool-302460813.html,True,False,Nordstrom; $24.25/sh cash; NYSE delisted 2025-05-21
K,acquisition,Mars Incorporated,2025,2025-12-11,https://www.mars.com/news-and-stories/press-releases-statements/mars-completes-acquisition-of-kellanova,True,False,Kellogg Co renamed Kellanova Oct-2023 (kept K) after WK Kellogg (KLG) spin-off; Mars $35.9B cash deal took K private
KFT,split,Mondelez (MDLZ) + Kraft Foods Group (KRFT),2012,2012-10-01,https://www.sec.gov/Archives/edgar/data/1103982/000119312512411522/d418430dex991.htm,True,False,Kraft Foods Inc renamed Mondelez; KFT became MDLZ 2012-10-02; KRFT later merged into Kraft Heinz (KHC) 2015
KRFT,merger,H.J. Heinz Holding forming The Kraft Heinz Company,2015,2015-07-02,https://www.sec.gov/Archives/edgar/data/0001637459/000119312515244356/d38420dex991.htm,True,False,Kraft Foods Group; successor KHC trading from 2015-07-06; KRFT itself was 2012 spin from Kraft Foods Inc (KFT now MDLZ)
KSU,acquisition,Canadian Pacific,2021,2021-12-14,https://www.sec.gov/Archives/edgar/data/54480/000119312521356252/d25745dex991.htm,True,False,Kansas City Southern; closed into voting trust; STB approved control Apr-2023; now CPKC
LLL,merger,Harris Corporation all-stock merger forming L3Harris Technologies,2019,2019-06-29,https://investors.l3harris.com/news/news-details/2019/L3Harris-Technologies-Merger-Successfully-Completed-Board-of-Directors-Leadership-and-Organization-Structure-Announced-07-01-2019/default.aspx,True,False,L3 Technologies (ex L-3 Communications); LLL last traded 2019-06-28; 1.3 LHX per share; successor NYSE:LHX
LLTC,acquisition,Analog Devices (ADI),2017,2017-03-10,https://investor.analog.com/news-releases/news-release-details/analog-devices-completes-acquisition-linear-technology,True,False,Linear Technology; delisted from Nasdaq same day
LM,acquisition,Franklin Resources (Franklin Templeton),2020,2020-07-31,https://www.franklintempleton.com/press-releases/news-room/2020/franklin-templeton-completes-acquisition-of-legg-mason,True,False,Legg Mason; $50/share all-cash
LO,acquisition,Reynolds American,2015,2015-06-12,https://www.prnewswire.com/news-releases/reynolds-american-completes-acquisition-of-lorillard-and-related-divestitures-300098366.html,True,False,Lorillard; $50.50 cash + 0.2909 RAI per share
LSI,acquisition,Avago Technologies (now Broadcom),2014,2014-05-06,https://www.globenewswire.com/news-release/2014/05/06/633503/19933/en/Avago-Technologies-Completes-Acquisition-of-LSI-Corporation.html,True,True,LSI Corp; $11.15/sh cash $6.6B; ticker reused by Life Storage 2017-2023 (into EXR 2023-07-20); unused now
LVLT,acquisition,CenturyLink,2017,2017-11-01,https://s21.q4cdn.com/756714007/files/doc_news/CenturyLink-completes-acquisition-of-Level-3-2017.pdf,True,False,Level 3 Communications; $26.50 cash + 1.4286 CTL shares; CenturyLink now Lumen (LUMN)
LXK,acquisition,Apex Technology + PAG Asia Capital consortium (with Legend Capital),2016,2016-11-29,https://www.prnewswire.com/news-releases/lexmark-announces-completion-of-acquisition-by-apex-technology-and-pag-asia-capital-300369704.html,True,False,Lexmark International; $40.50/sh; went private (later Ninestar; sold to Xerox 2025)
MDP,acquisition,Gray Television (broadcast) + IAC/Dotdash (digital/magazines),2021,2021-12-01,https://news.people.inc/news-releases?item=137638,True,False,Meredith; NMG spun off as Meredith Holdings and bought by Dotdash same day; both closings 2021-12-01
MEE,acquisition,Alpha Natural Resources,2011,2011-06-01,https://www.sec.gov/Archives/edgar/data/1301063/000119312511156357/dex992.htm,True,False,Massey Energy; 1.025 ANR shares + $10 cash per share; sale followed Upper Big Branch disaster
MFE,acquisition,Intel,2011,2011-02-28,https://www.businesswire.com/news/home/20110228007150/en/Intel-Completes-Acquisition-of-McAfee,True,False,McAfee Inc; $7.68B cash; brand re-IPO'd 2020 as MCFE then taken private again 2022
MIL,acquisition,Merck KGaA,2010,2010-07-14,https://www.sec.gov/Archives/edgar/data/0000066479/000095015710000730/ex99-1.htm,True,False,Millipore Corp; $107/sh ~$7B; became Merck/EMD Millipore division
MJN,acquisition,Reckitt Benckiser,2017,2017-06-15,https://www.meadjohnson.com/news/press-releases/mead-johnson-nutrition-merger-reckitt-benckiser-completed,True,False,Mead Johnson Nutrition; $90/sh cash (~$17.9B incl debt)
MNK,bankruptcy-emerged,Mallinckrodt plc Chapter 11 (opioid/Acthar liabilities),2020,2020-10-12,https://mallinckrodt.gcs-web.com/news-releases/news-release-details/mallinckrodt-receives-court-approval-first-day-motions-support,True,False,emerged Jun-2022 (relisted NYSE American as MNK); second Ch.11 Aug-2023; emerged Nov-2023 private/unlisted
MOLX,acquisition,Koch Industries,2013,2013-12-09,https://www.sec.gov/Archives/edgar/data/67472/000110465913088986/a13-25556_2ex99d1.htm,True,False,Molex; $38.68/sh cash incl dividend adj; $7.2B
MON,acquisition,Bayer AG,2018,2018-06-07,https://www.bayer.com/media/en-us/bayer-closes-monsanto-acquisition/,True,False,Monsanto; $128/share cash (~$63B incl debt); delisted NYSE
MRO,acquisition,ConocoPhillips,2024,2024-11-22,https://www.conocophillips.com/news-media/story/conocophillips-completes-acquisition-of-marathon-oil-corporation/,True,False,Marathon Oil; all-stock 0.255 COP/share; had spun off Marathon Petroleum (MPC) 2011
MWW,acquisition,Randstad Holding,2016,2016-11-01,https://www.randstad.com/press/2016/randstad-completes-acquisition-monster-worldwide-to-accelerate-its-digital-human/,True,False,Monster Worldwide; $3.40/sh tender; NYSE trading ceased 2016-11-01
NBL,acquisition,Chevron,2020,2020-10-05,https://www.chevron.com/newsroom/2020/q4/chevron-completes-acquisition-of-noble-energy,True,False,Noble Energy; all-stock; distinct from Noble Corp (NE)
NFX,acquisition,Encana Corporation (all-stock),2019,2019-02-13,https://www.globenewswire.com/news-release/2019/02/13/1725049/0/en/Encana-completes-acquisition-of-Newfield-Exploration-to-create-North-America-s-premier-resource-company.html,True,False,Newfield Exploration; 2.6719 ECA per NFX; Encana renamed Ovintiv (OVV) 2020
NLSN,take-private,Evergreen (Elliott) + Brookfield consortium,2022,2022-10-11,https://www.sec.gov/Archives/edgar/data/1492633/000119312522260583/d407513dex991.htm,True,False,Nielsen Holdings; $28/sh cash; off NYSE 2022-10-12
